"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D5,D7,D12,D9,D1,D10,D11,D6,D2,D4,D14,D13,D3,D8";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";14;"SK6812MINI";;;
2;"SW2,SW3,SW4";"SW_Cherry_MX_1.00u_PCB";3;"SW_Push";;;
3;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder";;;
4;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
